Lexeme: int , Token : INT found at line #8
Lexeme: method , Token : METHOD found at line #8
Lexeme: main , Token : IDENTIFIER found at line #8
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #8
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #8
Lexeme: @ , Token : START_SYM found at line #9
Lexeme: int , Token : INT found at line #10
Lexeme: n , Token : IDENTIFIER found at line #10
Lexeme: ; , Token : SEMICOLON found at line #10
Lexeme: n , Token : IDENTIFIER found at line #11
Lexeme: = , Token : ASSIGN_OP found at line #11
Lexeme: input , Token : INPUT found at line #11
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #11
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #11
Lexeme: ; , Token : SEMICOLON found at line #11
Lexeme: if , Token : IF found at line #12
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #12
Lexeme: n , Token : IDENTIFIER found at line #12
Lexeme: % , Token : MODULO_OP found at line #12
Lexeme: 2 , Token : INTEGER_LIT found at line #12
Lexeme: == , Token : EQ found at line #12
Lexeme: 1 , Token : INTEGER_LIT found at line #12
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #12
Lexeme: @ , Token : START_SYM found at line #13
Lexeme: output , Token : OUTPUT found at line #14
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #14
Lexeme: 1 , Token : INTEGER_LIT found at line #14
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #14
Lexeme: ; , Token : SEMICOLON found at line #14
Lexeme: $ , Token : END_SYM found at line #15
Lexeme: else , Token : ELSE found at line #16
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #16
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #16
Lexeme: @ , Token : START_SYM found at line #17
Lexeme: output , Token : OUTPUT found at line #18
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #18
Lexeme: 0 , Token : INTEGER_LIT found at line #18
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #18
Lexeme: ; , Token : SEMICOLON found at line #18
Lexeme: $ , Token : END_SYM found at line #19
Lexeme: return , Token : RETURN found at line #20
Lexeme: 0 , Token : INTEGER_LIT found at line #20
Lexeme: ; , Token : SEMICOLON found at line #20
Lexeme: $ , Token : END_SYM found at line #21
