Lexeme: int , Token : INT found at line #8
Lexeme: method , Token : METHOD found at line #8
Lexeme: fact , Token : IDENTIFIER found at line #8
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #8
Lexeme: int , Token : INT found at line #8
Lexeme: n , Token : IDENTIFIER found at line #8
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #8
Lexeme: @ , Token : START_SYM found at line #9
Lexeme: if , Token : IF found at line #10
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #10
Lexeme: n , Token : IDENTIFIER found at line #10
Lexeme: <= , Token : LE found at line #10
Lexeme: 1 , Token : INTEGER_LIT found at line #10
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #10
Lexeme: @ , Token : START_SYM found at line #11
Lexeme: return , Token : RETURN found at line #12
Lexeme: 1 , Token : INTEGER_LIT found at line #12
Lexeme: ; , Token : SEMICOLON found at line #12
Lexeme: $ , Token : END_SYM found at line #13
Lexeme: else , Token : ELSE found at line #14
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #14
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #14
Lexeme: @ , Token : START_SYM found at line #15
Lexeme: return , Token : RETURN found at line #16
Lexeme: n , Token : IDENTIFIER found at line #16
Lexeme: * , Token : MULTIPLICATION_OP found at line #16
Lexeme: fact , Token : IDENTIFIER found at line #16
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #16
Lexeme: n , Token : IDENTIFIER found at line #16
Lexeme: -1 , Token : INTEGER_LIT found at line #16
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #16
Lexeme: ; , Token : SEMICOLON found at line #16
Lexeme: $ , Token : END_SYM found at line #17
Lexeme: $ , Token : END_SYM found at line #18
Lexeme: int , Token : INT found at line #19
Lexeme: method , Token : METHOD found at line #19
Lexeme: main , Token : IDENTIFIER found at line #19
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #19
Lexeme: int , Token : INT found at line #19
Lexeme: n , Token : IDENTIFIER found at line #19
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #19
Lexeme: @ , Token : START_SYM found at line #20
Lexeme: int , Token : INT found at line #21
Lexeme: a , Token : IDENTIFIER found at line #21
Lexeme: ; , Token : SEMICOLON found at line #21
Lexeme: a , Token : IDENTIFIER found at line #22
Lexeme: = , Token : ASSIGN_OP found at line #22
Lexeme: input , Token : INPUT found at line #22
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #22
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #22
Lexeme: ; , Token : SEMICOLON found at line #22
Lexeme: int , Token : INT found at line #23
Lexeme: result , Token : IDENTIFIER found at line #23
Lexeme: ; , Token : SEMICOLON found at line #23
Lexeme: result , Token : IDENTIFIER found at line #24
Lexeme: = , Token : ASSIGN_OP found at line #24
Lexeme: fact , Token : IDENTIFIER found at line #24
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #24
Lexeme: a , Token : IDENTIFIER found at line #24
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #24
Lexeme: ; , Token : SEMICOLON found at line #24
Lexeme: output , Token : OUTPUT found at line #25
Lexeme: ( , Token : OPEN_PARENTHESIS found at line #25
Lexeme: a , Token : IDENTIFIER found at line #25
Lexeme: ) , Token : CLOSED_PARANTHESIS found at line #25
Lexeme: ; , Token : SEMICOLON found at line #25
Lexeme: $ , Token : END_SYM found at line #26
